outlet,Date,Attribute,Value,Day Name,Brand,Month,Channel
Carrefour Trm,10/01/2025,Melano Cc Sheet Mask,2,Friday,Melano ,January,Carrefour 
Carrefour Trm,10/01/2025,Melano Cc Spot Essence,2,Friday,Melano ,January,Carrefour 
Carrefour Trm,10/01/2025,Acnes Moisturiser,4,Friday,Acnes ,January,Carrefour 
Carrefour Trm,11/01/2025,Melano Cc Sheet Mask,5,Saturday,Melano ,January,Carrefour 
Carrefour Trm,11/01/2025,Acnes Moisturiser,9,Saturday,Acnes ,January,Carrefour 
Carrefour Trm,12/01/2025,Melano Cc Moistruriser,5,Sunday,Melano ,January,Carrefour 
Carrefour Trm,12/01/2025,Melano Cc Sheet Mask,3,Sunday,Melano ,January,Carrefour 
Carrefour Trm,12/01/2025,Melano Cc Spot Essence,2,Sunday,Melano ,January,Carrefour 
Goodlife Greenspan,16/01/2025,Melano Cc Moistruriser,1,Thursday,Melano ,January,Goodlife 
Goodlife Greenspan,16/01/2025,Melano Cc Sheet Mask,4,Thursday,Melano ,January,Goodlife 
Goodlife Greenspan,16/01/2025,Melano Cc Spot Essence,2,Thursday,Melano ,January,Goodlife 
Goodlife Greenspan,16/01/2025,Acnes Moisturiser,1,Thursday,Acnes ,January,Goodlife 
Carrefour Junction,17/01/2025,Melano Cc Moistruriser,1,Friday,Melano ,January,Carrefour 
Carrefour Junction,17/01/2025,Melano Cc Sheet Mask,11,Friday,Melano ,January,Carrefour 
Carrefour Junction,17/01/2025,Melano Cc Spot Essence,6,Friday,Melano ,January,Carrefour 
Carrefour Junction,17/01/2025,Acnes Creamy Was 100G,1,Friday,Acnes ,January,Carrefour 
Carrefour Junction,17/01/2025,Acnes Moisturiser,1,Friday,Acnes ,January,Carrefour 
Goodlife Greenspan,17/01/2025,Melano Cc Moistruriser,1,Friday,Melano ,January,Goodlife 
Goodlife Greenspan,17/01/2025,Melano Cc Sheet Mask,2,Friday,Melano ,January,Goodlife 
Goodlife Greenspan,17/01/2025,Melano Cc Spot Essence,3,Friday,Melano ,January,Goodlife 
Goodlife Greenspan,17/01/2025,Acnes Moisturiser,2,Friday,Acnes ,January,Goodlife 
Carrefour Junction,18/01/2025,Melano Cc Moistruriser,3,Saturday,Melano ,January,Carrefour 
Carrefour Junction,18/01/2025,Melano Cc Sheet Mask,9,Saturday,Melano ,January,Carrefour 
Carrefour Junction,18/01/2025,Melano Cc Spot Essence,6,Saturday,Melano ,January,Carrefour 
Carrefour Junction,18/01/2025,Acnes Creamy Was 100G,2,Saturday,Acnes ,January,Carrefour 
Carrefour Junction,18/01/2025,Acnes Mentholatum Bar Soap,3,Saturday,Acnes ,January,Carrefour 
Carrefour Junction,18/01/2025,Acnes Sealing Gel,1,Saturday,Acnes ,January,Carrefour 
Goodlife Greenspan,18/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Goodlife 
Goodlife Greenspan,18/01/2025,Melano Cc Sheet Mask,4,Saturday,Melano ,January,Goodlife 
Goodlife Greenspan,18/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Goodlife 
Goodlife Greenspan,18/01/2025,Acnes Moisturiser,2,Saturday,Acnes ,January,Goodlife 
Carrefour Junction,19/01/2025,Melano Cc Moistruriser,4,Sunday,Melano ,January,Carrefour 
Carrefour Junction,19/01/2025,Melano Cc Sheet Mask,8,Sunday,Melano ,January,Carrefour 
Carrefour Junction,19/01/2025,Melano Cc Spot Essence,7,Sunday,Melano ,January,Carrefour 
Carrefour Junction,19/01/2025,Acnes Mentholatum Bar Soap,2,Sunday,Acnes ,January,Carrefour 
Carrefour Junction,19/01/2025,Acnes Moisturiser,1,Sunday,Acnes ,January,Carrefour 
Quickmart Kiambu,25/01/2025,Melano Cc Moistruriser,2,Saturday,Melano ,January,Quickmart 
Quickmart Kiambu,25/01/2025,Melano Cc Sheet Mask,5,Saturday,Melano ,January,Quickmart 
Quickmart Kiambu,25/01/2025,Acnes Creamy Was 100G,1,Saturday,Acnes ,January,Quickmart 
Quickmart Kiambu,25/01/2025,Acnes Moisturiser,1,Saturday,Acnes ,January,Quickmart 
Carrefour Raptah Road,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Carrefour 
Carrefour Raptah Road,25/01/2025,Melano Cc Spot Essence,2,Saturday,Melano ,January,Carrefour 
Carrefour Raptah Road,25/01/2025,Acnes Creamy Was 100G,1,Saturday,Acnes ,January,Carrefour 
Carrefour Raptah Road,25/01/2025,Acnes Mentholatum Bar Soap,1,Saturday,Acnes ,January,Carrefour 
Carrefour Raptah Road,25/01/2025,Acnes Soothing Toner,1,Saturday,Acnes ,January,Carrefour 
Naivas Kingara,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Naivas 
Naivas Kingara,25/01/2025,Melano Cc Sheet Mask,2,Saturday,Melano ,January,Naivas 
Naivas Kingara,25/01/2025,Acnes Creamy Was 100G,1,Saturday,Acnes ,January,Naivas 
Naivas Capital,25/01/2025,Melano Cc Sheet Mask,1,Saturday,Melano ,January,Naivas 
Naivas Capital,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Naivas 
Naivas Capital,25/01/2025,Acnes Creamy Was 100G,2,Saturday,Acnes ,January,Naivas 
Naivas Capital,25/01/2025,Acnes Care Kit,1,Saturday,Acnes ,January,Naivas 
Naivas Greenspan,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Naivas 
Naivas Greenspan,25/01/2025,Melano Cc Sheet Mask,2,Saturday,Melano ,January,Naivas 
Naivas Greenspan,25/01/2025,Acnes Moisturiser,2,Saturday,Acnes ,January,Naivas 
Naivas Greenspan,25/01/2025,Acnes Sealing Gel,1,Saturday,Acnes ,January,Naivas 
Naivas Buruburu,25/01/2025,Melano Cc Sheet Mask,2,Saturday,Melano ,January,Naivas 
Naivas Buruburu,25/01/2025,Acnes Creamy Was 100G,1,Saturday,Acnes ,January,Naivas 
Naivas Juja City,25/01/2025,Melano Cc Sheet Mask,1,Saturday,Melano ,January,Naivas 
Naivas Juja City,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Naivas 
Naivas Juja City,25/01/2025,Acnes Moisturiser,2,Saturday,Acnes ,January,Naivas 
Naivas Juja City,25/01/2025,Acnes Multi Vimani Cleanser,1,Saturday,Acnes ,January,Naivas 
Naivas Juja City,25/01/2025,Acnes Sealing Gel,2,Saturday,Acnes ,January,Naivas 
Naivas Nyali,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Naivas 
Naivas Nyali,25/01/2025,Melano Cc Sheet Mask,2,Saturday,Melano ,January,Naivas 
Naivas Nyali,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Naivas 
Naivas Likoni,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Naivas 
Naivas Likoni,25/01/2025,Melano Cc Spot Essence,2,Saturday,Melano ,January,Naivas 
Naivas Likoni,25/01/2025,Acnes Creamy Wash 50G,2,Saturday,Acnes ,January,Naivas 
